Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Aarakocra Sneak,CLB,Commander Legends: Battle for Baldur's Gate,54,normal,common,1,68933,2a83882c-3e03-4e85-aaac-97fa1d08a772,de,01.03.2025
Stonespeaker Crystal,CLB,Commander Legends: Battle for Baldur's Gate,450,normal,uncommon,1,69108,7654eb50-4ac1-4388-aea6-373aa2b361ae,de,01.03.2025
Bountiful Promenade,CLB,Commander Legends: Battle for Baldur's Gate,348,normal,rare,2,67506,5125a8d8-344d-4419-b37a-ddf343493c5f,de,01.03.2025
Lurking Green Dragon,CLB,Commander Legends: Battle for Baldur's Gate,239,normal,common,1,69075,66de5a3e-7b08-438b-866e-9fce1a36b243,de,01.03.2025
Ambitious Dragonborn,CLB,Commander Legends: Battle for Baldur's Gate,213,normal,common,1,69057,5e56a516-d71a-49c4-a929-9a8973125d3c,de,01.03.2025
Decanter of Endless Water,CLB,Commander Legends: Battle for Baldur's Gate,444,normal,common,2,69162,914b42b3-03af-4945-9f1f-46c09a1a2314,de,01.03.2025
Sky Diamond,CLB,Commander Legends: Battle for Baldur's Gate,449,normal,common,1,68946,32b21297-be34-445e-8a5a-6c297ab0ee77,de,01.03.2025
Shameless Charlatan,CLB,Commander Legends: Battle for Baldur's Gate,96,normal,rare,1,69353,e65ad0e2-8f78-4e60-a97e-1cd20901680f,de,01.03.2025
"Sivriss, Nightmare Speaker",CLB,Commander Legends: Battle for Baldur's Gate,148,normal,uncommon,2,68949,334bc010-5b60-4075-be12-0b36f41f32c6,de,01.03.2025
Inspiring Leader,CLB,Commander Legends: Battle for Baldur's Gate,28,normal,uncommon,2,69393,fc6eb9f3-0f7b-4623-806e-5e604a05d470,de,01.03.2025
"Mahadi, Emporium Master",CLB,Commander Legends: Battle for Baldur's Gate,282,normal,uncommon,2,69277,c3da2b1a-76c5-4d36-bdf8-025b86f61eb5,de,01.03.2025
Skullport Merchant,CLB,Commander Legends: Battle for Baldur's Gate,149,normal,uncommon,1,68950,3362080e-57e9-4da1-9065-d28932869fe5,de,01.03.2025
Descent into Avernus,CLB,Commander Legends: Battle for Baldur's Gate,169,normal,rare,2,69388,faadf72f-b2d5-4271-8d5c-a586acf63453,de,01.03.2025
"Renari, Merchant of Marvels",CLB,Commander Legends: Battle for Baldur's Gate,90,normal,uncommon,1,68893,1c044363-d661-4703-841c-8279fa4aa5e5,de,01.03.2025
Tabaxi Toucaneers,CLB,Commander Legends: Battle for Baldur's Gate,46,normal,common,1,68991,43e38761-70e0-4f6e-a4c2-7c9a17557d25,de,01.03.2025
Underdark Explorer,CLB,Commander Legends: Battle for Baldur's Gate,154,normal,common,1,69192,a2bf9736-b5f5-4fd4-8406-9f57fefd86e7,de,01.03.2025
