Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date,,,,
Chain Reaction,ONC,Phyrexia: All Will Be One Commander,97,normal,rare,1,78678,86ac292c-070e-439f-9c25-f4037cf1edd5,de,02.08.2025,,,,
"Tekuthal, Inquiry Dominus",ONE,Phyrexia: All Will Be One,71,normal,mythic,1,78944,f1d4b157-2c77-4355-8c65-78dec9d44c85,de,02.08.2025,,,,
Ripples of Potential,LCC,The Lost Caverns of Ixalan Commander,77,normal,rare,1,88832,b70e6ded-2c25-4608-9ae0-a64e13aa1d2a,de,02.08.2025,,,,
Pull from Tomorrow,DRC,Aetherdrift Commander,81,normal,rare,1,103321,e45740e7-c992-4ec0-93bd-9718b6d3ffea,de,02.08.2025,,,,
Phyrexian Metamorph,MKC,Murders at Karlov Manor Commander,116,normal,rare,1,90562,e5a1ff9e-fef2-4890-baf2-7bd0852ea0b9,de,02.08.2025,,,,
Kappa Cannoneer,MH3,Modern Horizons 3,270,normal,rare,1,94230,6ddc2852-11c4-40da-b26f-6f236349f608,de,02.08.2025,,,,
"Emry, Lurker of the Loch",NEC,Neon Dynasty Commander,91,normal,rare,1,66985,20fec02d-77af-4975-b410-7097c7c28e7e,de,02.08.2025,,,,
Chrome Host Seedshark,MOM,March of the Machine,51,normal,rare,1,81290,febaaeae-5c0d-45fa-8169-b27b4996f18e,de,02.08.2025,,,,
Cyberdrive Awakener,NEC,Neon Dynasty Commander,12,normal,rare,1,66936,2a2c0a2f-07fb-4cc0-9b99-e5ff4303028d,de,02.08.2025,,,,
Deepglow Skate,CMM,Commander Masters,844,normal,rare,1,84633,94e8e7b9-042e-4d01-87dd-27dc95257113,de,02.08.2025,,,,
Swan Song,EOC,Edge of Eternities Commander,46,normal,rare,1,107292,83d0b761-d694-4232-9f40-5bd8c82a05f1,de,02.08.2025,,,,
Radiant Summit,EOC,Edge of Eternities Commander,23,normal,rare,1,107232,1595f80a-b566-49ce-a64f-4289443b1b8d,de,02.08.2025,,,,
Glittering Massif,EOC,Edge of Eternities Commander,22,normal,rare,1,107327,c6ab42e4-4c87-4fc1-b7a9-1c0ff7d791fb,de,02.08.2025,,,,
Chaos Warp,EOC,Edge of Eternities Commander,49,normal,rare,1,107334,d4372203-b930-4e6e-a351-e5b4581eb72b,de,02.08.2025,,,,
Cloud Key,EOC,Edge of Eternities Commander,54,normal,rare,1,107319,b851ab76-e40e-4232-b120-0bc1905ef0b4,de,02.08.2025,,,,
Gavel of the Righteous,EOC,Edge of Eternities Commander,55,normal,rare,1,107255,30749eac-542a-40ff-95ee-27dde538915c,de,02.08.2025,,,,
Angel of the Ruins,BLC,Bloomburrow Commander,134,normal,rare,1,96488,dd6a9c1c-b484-49c5-aa0f-ca2fb1e6a3ef,de,02.08.2025,,,,
Fumigate,FDN,Foundations,575,normal,rare,1,101256,e2c1e655-1883-428f-abe8-69c011cfbd4b,de,02.08.2025,,,,
Organic Extinction,MKC,Murders at Karlov Manor Commander,76,normal,rare,1,90446,900b713f-82f7-4e4a-804d-6bb38436aa9d,de,02.08.2025,,,,
Surge Conductor,EOC,Edge of Eternities Commander,19,normal,rare,1,107275,686c005b-39c8-4c6c-bf5a-462774f1d6d9,de,02.08.2025,,,,
Resourceful Defense,NCC,New Capenna Commander,19,normal,rare,1,68311,91f4dfc0-7478-4e47-89b4-685b72197ef0,de,02.08.2025,,,,
Battlefield Forge,EOC,Edge of Eternities Commander,58,normal,rare,1,107279,6ef04c87-8d34-49af-8b79-72e460daf71c,de,02.08.2025,,,,
Solar Array,EOC,Edge of Eternities Commander,18,normal,rare,1,107223,03c45b66-ddc7-43f8-95d0-fe2ad743b3a4,de,02.08.2025,,,,
Moxite Refinery,EOC,Edge of Eternities Commander,17,normal,rare,1,107313,ad617991-21c0-47c6-bc84-6e7c33edf7ee,de,02.08.2025,,,,
Long-Range Sensor,EOC,Edge of Eternities Commander,11,normal,rare,1,107288,7bc56147-9920-401d-8e4e-93d497e8b67a,de,02.08.2025,,,,
Depthshaker Titan,EOC,Edge of Eternities Commander,9,normal,rare,1,107301,972f3582-ad7c-4fe9-af29-90fa695a623f,de,02.08.2025,,,,
Insight Engine,EOC,Edge of Eternities Commander,6,normal,rare,1,107318,b826de8b-ed21-4e2b-b99a-e860c1cb876b,de,02.08.2025,,,,
Uthros Research Craft,EOC,Edge of Eternities Commander,7,normal,rare,1,107277,6ade097b-349f-4876-bdc8-7bcd051e9952,de,02.08.2025,,,,
Patrolling Peacemaker,EOC,Edge of Eternities Commander,5,normal,rare,1,107242,1e06d6be-c2a3-4c73-a916-89674c0ddfed,de,02.08.2025,,,,
Incubator // Phyrexian,TMOM,March of the Machine Tokens,16,normal,common,2,81227,cca1decc-90fd-4df8-997e-52f8789032f8,de,02.08.2025,,,,
Gnome,TLCI,The Lost Caverns of Ixalan Tokens,16,normal,common,2,88580,6def709a-53b3-4520-9544-74ab6472d256,de,02.08.2025,,,,
Thopter,TTDC,Tarkir: Dragonstorm Commander Tokens,33,normal,common,1,104796,8cf7fb45-2454-4d3e-a79f-05a3eb8f4da1,de,02.08.2025,,,,
Golem,TMBS,Mirrodin Besieged Tokens,3,normal,common,2,19983,2d84926d-5892-4c62-a943-fac9f0ddc569,de,02.08.2025,,,,
Golem,TEOC,Edge of Eternities Commander Tokens,12,normal,common,2,107322,bc1c56b2-69f3-42d9-81f4-3dbd40dd8f5d,de,02.08.2025,,,,
Bird,TEOC,Edge of Eternities Commander Tokens,3,normal,common,1,107250,2a3d4bf9-2107-4686-8df5-cd7c934d0691,de,02.08.2025,,,,
