Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Big Score,FIC,Final Fantasy Commander,290,normal,common,1,105971,67d41ba2-a908-4613-b275-6ffe4165e48a,de,08.06.2025
Stitch Together,FIC,Final Fantasy Commander,286,normal,uncommon,1,105988,73f1aa13-b3bc-480e-826c-6bded7ee1ca6,de,08.06.2025
Stitcher's Supplier,FIC,Final Fantasy Commander,287,normal,uncommon,1,106249,fa6c734a-672b-44cb-9232-5688e3534ccc,de,08.06.2025
Arcane Signet,FIC,Final Fantasy Commander,332,normal,common,1,106072,9ce66ebc-b39f-4b40-9d95-981629a5dd06,de,08.06.2025
Commander's Sphere,FIC,Final Fantasy Commander,339,normal,common,1,105808,0851660f-fa02-4f08-b28b-10279c58d4e4,de,08.06.2025
Crackling Doom,FIC,Final Fantasy Commander,322,normal,uncommon,1,106220,e7674039-7640-4f70-84e9-d1fa76a59dbe,de,08.06.2025
Mortify,FIC,Final Fantasy Commander,327,normal,uncommon,1,105955,5f4fa21b-4733-49a6-b751-779b8325c4d2,de,08.06.2025
Meteor Golem,FIC,Final Fantasy Commander,351,normal,uncommon,1,106003,7aeddfc1-38b0-4491-92f1-0a9989a53439,de,08.06.2025
Sol Ring,FIC,Final Fantasy Commander,356,normal,uncommon,1,106041,8fb860f9-3729-436e-adfb-c98c2a389d5d,de,08.06.2025
Mind Stone,FIC,Final Fantasy Commander,353,normal,uncommon,1,106009,7fdef0b6-a3b9-4752-bce6-53c0140a1693,de,08.06.2025
Millikin,FIC,Final Fantasy Commander,352,normal,uncommon,1,105984,717b0d6b-fa62-46d2-a061-7161d3255c98,de,08.06.2025
Talisman of Indulgence,FIC,Final Fantasy Commander,366,normal,uncommon,1,105824,0f7b46ae-2cd4-407b-a97a-d112a5b6b86b,de,08.06.2025
Wayfarer's Bauble,FIC,Final Fantasy Commander,372,normal,common,1,105976,69dd3fa7-5498-4b88-bc98-6de8ca5fe007,de,08.06.2025
Swiftfoot Boots,FIC,Final Fantasy Commander,361,normal,uncommon,1,105844,1beee53e-9380-481e-86a6-d13645a6a5a5,de,08.06.2025
Talisman of Conviction,FIC,Final Fantasy Commander,363,normal,uncommon,1,105796,029fb369-f5ef-4768-8c0b-23d3cfd023d9,de,08.06.2025
Ash Barrens,FIC,Final Fantasy Commander,374,normal,common,1,105997,77df073b-49dc-4743-82a3-d595bc938761,de,08.06.2025
Geothermal Bog,FIC,Final Fantasy Commander,399,normal,common,1,106185,d504caa5-e557-4e69-8899-44760b88f076,de,08.06.2025
Demolition Field,FIC,Final Fantasy Commander,385,normal,uncommon,1,106007,7f6d8cae-face-4bff-8c0a-348cefe1e9dd,de,08.06.2025
Evolving Wilds,FIC,Final Fantasy Commander,389,normal,common,1,105887,351f791c-4bee-4fce-aee4-d0214ca0c945,de,08.06.2025
Nomad Outpost,FIC,Final Fantasy Commander,409,normal,uncommon,1,105999,790d5244-5042-4b84-b16d-be0f87d11fad,de,08.06.2025
Sacred Peaks,FIC,Final Fantasy Commander,418,normal,common,1,106227,eb18e293-a58b-4a49-b601-88a30ffa9b99,de,08.06.2025
Rogue's Passage,FIC,Final Fantasy Commander,415,normal,uncommon,1,106134,b8cd0293-d140-4f80-804c-019957c1f49a,de,08.06.2025
Path of Ancestry,FIC,Final Fantasy Commander,411,normal,common,1,105929,4dd83a5d-1908-4141-8449-fac5e77cd6c0,de,08.06.2025
Sunlit Marsh,FIC,Final Fantasy Commander,431,normal,common,1,105922,4b163c67-2e88-4181-90c9-3f15eba59d03,de,08.06.2025
Command Tower,FIC,Final Fantasy Commander,484,normal,common,1,105918,4a2dfd72-a8f4-4e43-b5de-caf6a129a51a,de,08.06.2025
Copy,TFIN,Final Fantasy Tokens,1,normal,common,4,106253,fcde6a95-37f1-4bb4-9cea-5b65dbc9c76a,de,08.06.2025
Moogle,TFIN,Final Fantasy Tokens,11,normal,common,8,105862,295b78dc-b26d-4e92-8f75-916566c4db14,de,08.06.2025
The Monarch,TFIC,Final Fantasy Commander Tokens,11,normal,common,2,105969,66f569e1-5a37-4801-be01-9c5d44a82427,de,08.06.2025
The Blackjack,TFIC,Final Fantasy Commander Tokens,8,normal,common,2,106120,af39ce29-47bb-42bf-8d3d-224bdce96a83,de,08.06.2025
